面积,楼层,区,房价
143,4,1,23077
18,6,2,18889
604,1,3,182119
66,7,1,101515
97,8,4,5670
105,5,5,32381
63,4,6,88889
53,5,4,8113
55,8,7,22909
93,1,5,29032
381,3,2,39370
89,6,8,22472
89,3,8,28202
105,3,8,43810
106,4,5,25943
90,4,9,40667
272,1,5,17647
90,2,8,44444
105,2,8,43810
117,2,8,42564
107,3,7,30467
70,5,4,10000
151,1,4,19868
90,6,9,50000
330,1,5,15939
44,4,10,65909
61,2,10,47541
56,4,10,58929
89,1,9,52809
57,8,7,22982
345,1,11,23188
90,8,9,50000
270,1,5,20000
73,8,8,28082
90,2,8,43111
82,7,4,11951
30,7,8,40000
78,3,8,26923
124,6,4,12903
68,6,5,32353
63,1,11,27778
54,5,5,38889
181,8,8,76243
40,5,4,10000
300,1,5,16000
159,3,12,71635
82,5,4,11951
83,3,6,37952
